adjective,adj_count
angry,2
available,38
possible,13
com,3
small,399
duplex,4
big,44
high,21
least,12
same,61
simple,4
double,82
due,45
next,66
best,14
new,25
wonderful,3
peaceful,2
internal,3
constant,9
vent,1
hard,34
technician,1
able,30
smaller,30
newer,2
negative,721
nice,53
elderly,3
difficult,36
narrow,15
single,37
basic,20
tea,6
dirty,19
afraid,2
cleaned,2
request,3
clean,40
heavy,4
common,5
second,35
top,16
noisy,42
many,14
old,36
last,13
different,28
late,22
ready,25
false,2
birthday,4
present,3
clear,9
didn,30
much,62
happy,20
total,2
happen,1
everyday,3
good,131
actual,6
quit,1
airconditiong,1
noise,5
great,58
wrong,18
trash,1
windows,1
computerized,1
pleasant,17
steep,23
safe,11
identical,3
minimalist,1
extra,36
tricky,3
electronic,1
wasn,20
dusty,4
other,97
minor,9
upper,6
mobile,9
loose,2
dangerous,8
lit,2
hot,77
couch,2
dust,1
weak,11
black,6
worst,10
whole,20
dated,7
more,65
attic,6
half,8
comfortable,26
friendly,15
bad,67
close,12
open,31
holiday,3
parking,3
pain,1
amazing,4
cool,5
light,4
loft,2
little,132
careful,2
precarious,2
practical,5
pricey,5
extensive,3
sure,19
ineffective,2
urine,1
slippery,3
uncomfortable,35
mattress,4
expensive,122
cold,54
lady,1
poor,62
temporary,7
weird,4
necessary,4
only,37
dont,2
sit,1
perfect,9
few,28
willing,1
wouldn,6
dark,24
central,19
ordinary,4
several,15
sleeping,1
first,59
meant,2
window,3
couple,7
longer,8
major,13
process,1
interested,3
huge,10
shower,65
existent,1
awful,14
lower,13
empty,12
private,3
nail,2
random,1
serious,3
plumbing,1
unwell,1
cheap,5
tasteless,2
worth,9
spent,2
pretty,1
non,5
sterling,1
full,35
left,3
mandatory,1
wish,6
current,2
main,21
accessible,4
disappointing,18
long,27
large,14
horrible,11
general,7
early,23
waited,2
mid,1
unavoidable,1
real,11
park,1
strange,12
potential,3
elevated,1
free,30
sleep,10
messy,2
average,11
young,6
better,30
fresh,13
upgraded,5
lovely,8
mixed,2
annexe,1
regular,7
sized,2
adequate,6
own,15
british,3
complete,5
powdered,1
affect,1
undergoing,2
massive,3
louder,1
sandy,1
choco,1
slow,20
table,8
helpful,22
lot,4
direct,5
initial,5
tiring,1
beautiful,5
inadequate,2
useful,2
freezing,1
desired,1
previous,14
official,3
earlier,6
normal,3
checkin,1
tall,4
integral,1
terrible,19
wait,3
electric,9
lamp,1
sorry,3
guest,6
faulty,2
leave,3
such,21
visible,5
everytime,1
compact,20
unaware,1
unable,19
overall,7
impractical,4
thin,8
loud,27
sticky,1
know,4
experienced,1
doesn,1
intrusive,1
desk,4
female,3
efficient,4
knowledgeable,3
limited,15
fair,4
rundown,1
dreary,1
outside,13
spacious,7
deliver,1
distant,1
quiet,10
damp,3
wet,30
unauthorised,1
foreign,2
aware,8
door,3
rare,1
cristal,1
middle,7
suite,3
useless,3
entire,9
slight,2
warm,33
along,1
heated,1
suitable,4
older,4
soft,19
mouthfuls,1
sick,3
like,9
dim,2
mistaken,1
rubbish,6
told,3
storey,1
stairs,2
staircase,1
responsible,3
wary,1
unacceptable,5
graded,1
picturesque,1
