adjective,adj_count
beautiful,93
real,11
great,400
original,7
new,23
restaurant,7
lacking,1
excellent,272
vegetarian,1
minor,3
fantastic,82
good,656
cute,4
nice,329
lovely,66
outdoor,2
amazing,44
romantic,4
modern,110
awesome,12
main,29
spacious,112
quiet,259
friendly,451
high,27
positive,181
big,74
many,36
top,17
true,5
more,29
bit,1
pricey,3
little,53
eatery,1
style,1
unique,6
comfortable,457
large,58
double,18
lush,3
spectacular,3
historic,4
cheaper,3
close,65
super,34
easy,83
cool,8
incredible,7
gentle,1
spanish,1
onsite,1
cafe,5
busy,13
brilliant,31
comfy,60
helpful,456
familiarized,1
old,19
such,27
enormous,4
quirky,6
fish,1
regular,1
eggs,1
few,29
continental,7
only,9
whole,23
min,9
interior,9
easiest,1
relevant,1
huge,26
short,39
central,70
former,1
right,8
clean,370
safe,11
adjacent,2
gorgeous,13
special,38
own,12
less,7
perfect,68
agreeable,1
possible,10
multiple,3
different,16
welcome,20
typical,1
most,19
small,94
east,1
public,24
standard,10
disappointed,2
hot,35
least,4
wander,1
qualified,1
next,46
wonderful,33
expensive,11
hind,1
sight,1
further,2
noisy,4
centre,4
courteous,21
renovated,1
brunch,1
massive,10
impressive,10
exquisite,2
gigantic,1
impossible,2
amsterdam,2
park,5
peaceful,10
tram,7
first,29
best,43
needed,2
hard,8
bed,6
metro,3
sure,11
birthday,14
free,102
front,8
wish,4
happy,18
open,7
warm,22
minimal,2
major,14
last,11
preferred,2
complete,4
final,1
stunning,3
stylish,21
young,9
undercooked,1
limited,3
bread,1
cereal,1
lots,10
requested,2
valuable,5
extra,37
ready,10
early,16
hall,1
fresh,23
grand,7
chatty,1
fabulous,15
keen,3
upstairs,1
strong,4
normal,2
interesting,4
nearest,4
tidy,6
several,14
unfinished,1
hectic,4
red,5
light,8
immediate,2
local,12
largest,1
available,19
better,14
upgraded,18
larger,6
due,20
ident,1
cleanliness,1
outstanding,7
pleasant,52
heaven,1
pretty,3
sweet,2
responsive,5
individual,2
worn,1
much,40
nicer,2
wooden,2
other,40
similar,6
beaten,1
bad,13
purpose,2
boutique,7
wrought,1
green,5
ten,1
shower,31
minute,14
accessible,6
classy,3
fine,17
plentiful,9
cold,6
nearby,6
willing,12
funky,2
airy,1
medical,2
baked,2
cheerful,5
deluxe,2
long,16
round,1
live,1
bath,2
speak,1
exceptional,8
awful,1
unusual,4
gothic,1
didn,6
got,1
exterior,1
black,2
stop,2
upcoming,1
overall,23
isn,1
tiny,11
delicious,24
restraint,1
confortable,4
average,2
daily,4
euros,1
hassle,2
attentive,45
memorable,2
atmosphere,8
welcoming,10
complimentary,38
cafes,2
general,6
enjoyed,2
plenty,13
polite,62
delightful,3
vey,1
smart,14
upheaval,1
middle,3
separate,15
arrival,4
fern,1
trams,1
usual,8
couple,3
kept,1
arent,1
certain,1
important,7
cozy,5
eaten,1
wifi,3
bustle,1
stay,12
arena,1
whilst,1
fir,1
arrived,1
hear,1
impeccable,2
previous,1
cheap,2
bottle,2
thankful,1
chic,2
salmon,1
sleek,2
rental,1
older,1
refurbishment,1
loft,1
door,4
outside,6
adorable,1
beutiful,1
superb,11
oosterpark,1
tasty,9
attic,1
white,3
equipped,4
traditional,2
particular,5
knowledgeable,7
full,16
stayed,3
professional,31
desk,1
fair,3
duplex,1
onthe,1
impersonal,1
unhelpful,1
upgrading,1
touch,10
bedside,1
surprise,4
luxurious,17
tasteful,3
bright,4
absolute,2
daytime,1
back,2
direct,6
accommodating,2
fan,1
warmish,1
satisfactory,1
powerful,10
rear,2
marble,2
garden,4
spend,1
worth,4
fitness,1
future,3
acceptable,3
competitive,1
same,5
entire,4
convenient,29
planned,1
furnished,2
superior,9
higher,7
lower,1
english,8
relax,2
underground,47
adequate,5
wide,6
basic,4
serviced,1
mobile,7
able,20
gluten,3
strict,1
diet,1
stuff,1
glad,1
efficient,32
popular,2
necessary,1
fab,7
cosy,15
bonus,3
countless,1
personal,10
teddybear,1
satisfied,2
liked,1
snow,1
theatre,7
useful,6
reasonable,19
opposite,1
aspect,1
firmer,1
damp,2
overallthe,1
handy,14
decent,13
bigger,6
lit,1
neat,5
flat,2
table,2
dry,3
retractable,1
sink,1
fellow,1
european,1
wasted,2
ground,1
breakfast,3
spotless,14
second,21
warmth,1
ample,2
initial,1
unbelievable,1
quick,11
favourite,2
earls,3
safer,1
want,1
orderly,1
taxi,1
late,7
assistive,1
attractive,4
freshly,2
sleep,4
functional,5
pet,1
eager,3
earl,2
lane,1
fifth,1
approachable,5
buffet,3
thoughtful,1
lone,1
stable,1
compact,8
decorated,2
frequent,3
granite,1
classic,1
suitable,1
arrive,2
phenomenal,2
joyful,1
fault,1
castle,1
pat,1
enjoyable,8
parking,1
heavy,2
enough,7
ith,4
key,2
asiatic,1
linen,2
restful,3
fluffy,3
have,2
duvet,1
conscientious,1
proper,2
couldn,6
half,2
alright,1
soft,6
happier,1
luxury,2
elegant,2
desirable,1
booked,1
obliging,4
maintained,2
tube,6
towels,1
underfloor,3
longest,1
crisp,1
plus,2
thought,1
single,5
indifferent,1
seperate,1
mattress,1
recent,1
apt,1
populated,1
ideal,7
heathrow,2
austrian,1
tea,4
quite,3
travel,2
wrong,2
comprehensive,1
rare,3
charming,1
basement,1
rapid,1
essential,1
personable,2
comfiest,2
bar,1
fast,2
private,3
extras,1
commie,1
thick,1
smooth,2
splendid,2
famous,1
quieter,1
organised,1
subway,1
residential,4
novel,1
unable,1
italian,3
pleased,9
taxis,2
upgrade,12
junior,5
suite,4
looked,2
alcoholic,2
finest,1
longtime,1
deep,5
biggest,1
apex,4
personalised,2
handwritten,1
aldrich,2
die,1
nespresso,1
mine,1
anniversary,5
inner,2
courtyard,3
imagine,1
hidden,3
criminal,1
didnt,2
very,2
loud,1
undisturbed,1
sound,1
listen,1
don,3
audio,1
near,2
alongside,1
blue,2
unexpected,3
difficult,2
walk,1
weak,1
square,2
excelent,1
ensuite,1
prepared,1
map,1
housekeeping,2
sparkling,1
dark,4
unbeatable,1
sized,3
complementary,6
walked,1
aloud,1
unstop,1
club,3
dual,1
immaculate,8
upper,2
pancreas,2
north,1
reachable,1
stocked,1
western,1
descent,2
cooked,3
relaxing,3
checked,1
shampoo,1
helpfulness,3
legal,1
usb,1
walking,2
robes,1
oldest,1
pub,1
like,3
marvelous,1
quickest,1
knowledgable,1
atmospheric,1
flakey,1
low,1
delayed,1
covent,1
lot,1
concert,1
considerate,1
slept,3
scenic,1
past,1
included,1
charger,1
avid,1
obvious,2
smaller,2
intimate,1
ate,1
simple,1
genuine,2
ridiculous,1
guest,2
supportive,2
coffee,1
dead,1
impressed,4
gimmick,1
reliable,2
lively,1
stellar,1
christmas,1
bathroom,2
optional,1
elephant,2
practical,3
amenable,1
etc,1
location,2
magnificent,1
soooooo,1
musical,2
numerous,1
lasting,1
start,3
decor,1
surprising,1
fourth,2
westen,1
unobtrusive,1
remarkable,1
west,12
feather,1
pillow,1
call,1
wan,1
bus,1
lived,1
finish,1
feels,2
ox,1
flashy,1
