adjective,adj_count
angry,2
available,38
possible,13
booking,3
small,399
2nd,1
duplex,3
big,44
high,21
t,182
hello,1
least,13
same,61
simple,5
double,82
due,48
next,61
best,13
new,25
wonderful,4
internal,3
constant,9
vent,1
hard,32
i,15
e,2
technician,1
able,30
smaller,30
newer,2
nice,64
difficult,36
most,18
narrow,15
single,37
basic,20
tea,7
dirty,18
afraid,1
heavy,4
pretty,2
common,5
earlier,6
second,34
many,15
old,36
inconsistent,1
last,13
different,27
late,22
ready,28
s,16
false,2
40th,1
present,4
clear,8
much,66
happy,20
total,2
everyday,4
good,137
clean,35
actual,6
quit,1
o,1
great,58
wrong,17
computerized,1
filfy,1
pleasant,17
wouldn,1
steep,22
safe,12
identical,3
minamilist,1
extra,40
tricky,2
negative,7
electronic,1
dusty,4
other,97
minor,11
upper,6
mobile,8
thr,1
loose,2
dangerous,8
lit,1
overrated,1
hot,76
couch,1
weak,11
black,6
worst,10
whole,20
more,73
attic,7
daylight,1
comfortable,26
friendly,16
bad,67
open,26
annoyed,3
ok,22
amazing,5
loft,3
little,148
careful,2
precarious,2
ongoing,1
practical,5
pricey,7
extensive,3
sure,18
fabulous,1
ineffective,2
urine,2
slippery,4
uncomfortable,34
mattress,2
expensive,123
close,7
cold,53
lady,1
poor,62
temporary,7
weird,4
necessary,4
only,39
perfect,12
few,28
willing,1
dark,22
central,19
ordinary,4
several,15
noisy,41
first,65
meant,2
window,2
longer,6
magnificent,2
major,13
process,1
trained,1
interested,3
huge,9
existent,1
awful,14
lower,14
empty,11
private,3
noisey,2
random,1
serious,3
plumbing,1
unwell,1
lazily,1
cheap,5
tasteless,2
uber,1
further,4
non,6
sterling,1
full,35
menditory,1
wish,4
current,2
main,21
accessible,4
large,14
horrible,8
general,8
early,22
long,32
shower,49
unavoidable,1
real,11
park,2
disservice,1
strange,13
potential,3
elevated,1
free,30
sleep,5
messy,2
average,11
young,6
better,48
fresh,13
arrival,7
lovely,8
mixed,2
changed,1
annexe,1
regular,7
sized,2
adequate,7
own,15
british,4
complete,5
powdered,1
undergoing,2
massive,3
louder,1
worth,7
sandy,1
slow,20
table,3
helpful,25
direct,4
initial,5
beautiful,5
inadequate,2
useful,2
requested,1
freezing,1
previous,14
official,3
normal,3
checkin,1
disappointing,15
tall,4
integral,1
terrible,18
lets,1
electric,9
sorry,2
unclear,3
faulty,2
such,14
visible,5
right,12
compact,21
birthday,5
unaware,1
unable,19
rid,1
couldn,8
impractical,3
differernt,1
thin,8
web,1
noise,2
loud,26
sticky,1
girl,1
didn,25
experienced,2
forgotten,1
intrusive,1
desk,3
female,3
efficient,4
knowledgeable,3
fair,4
rundown,1
dreary,1
affect,1
spacious,7
distant,1
quiet,10
dont,1
damp,3
unauthorised,1
foreign,2
aware,7
rare,1
cristal,1
middle,2
useless,4
entire,9
slight,1
warm,30
along,1
suitable,3
older,4
half,7
soft,19
overall,7
sick,2
like,3
dim,1
rubbish,6
storey,1
stairs,1
responsible,3
heated,1
wet,30
wary,1
dutch,1
unacceptable,3
graded,1
picturesque,1
congealed,1
chicken,1
wooden,3
looked,1
unwelcoming,1
deluxe,16
busy,15
