adjective,adj_count
angry,2.0
small,399.0
big,44.0
high,21.0
least,12.0
same,61.0
simple,4.0
double,82.0
due,45.0
next,66.0
new,25.0
internal,3.0
constant,9.0
vent,1.0
hard,34.0
able,30.0
smaller,30.0
newer,2.0
negative,721.0
nice,53.0
elderly,3.0
difficult,36.0
narrow,15.0
single,37.0
basic,20.0
dirty,19.0
afraid,2.0
heavy,4.0
common,5.0
second,35.0
top,16.0
noisy,42.0
many,14.0
old,36.0
last,13.0
different,28.0
late,22.0
ready,25.0
false,2.0
birthday,4.0
present,3.0
clear,9.0
didn,30.0
much,62.0
happy,20.0
total,2.0
happen,1.0
everyday,3.0
good,131.0
noise,5.0
great,58.0
wrong,18.0
trash,1.0
windows,1.0
computerized,1.0
pleasant,17.0
steep,23.0
safe,11.0
identical,3.0
minimalist,1.0
extra,36.0
tricky,3.0
electronic,1.0
wasn,20.0
dusty,4.0
other,97.0
minor,9.0
upper,6.0
mobile,9.0
loose,2.0
dangerous,8.0
lit,2.0
hot,77.0
couch,2.0
dust,1.0
weak,11.0
black,6.0
worst,10.0
whole,20.0
dated,7.0
more,65.0
attic,6.0
half,8.0
comfortable,26.0
friendly,15.0
bad,67.0
close,12.0
open,31.0
holiday,3.0
parking,3.0
amazing,4.0
cool,5.0
loft,2.0
little,132.0
careful,2.0
precarious,2.0
practical,5.0
pricey,5.0
extensive,3.0
sure,19.0
urine,1.0
slippery,3.0
uncomfortable,35.0
mattress,4.0
expensive,122.0
cold,54.0
lady,1.0
poor,62.0
temporary,7.0
weird,4.0
necessary,4.0
only,37.0
dont,2.0
sit,1.0
perfect,9.0
few,28.0
willing,1.0
wouldn,6.0
dark,24.0
central,19.0
ordinary,4.0
several,15.0
sleeping,1.0
first,59.0
meant,2.0
window,3.0
couple,7.0
longer,8.0
major,13.0
interested,3.0
shower,65.0
existent,1.0
awful,14.0
lower,13.0
empty,12.0
private,3.0
nail,2.0
random,1.0
serious,3.0
plumbing,1.0
unwell,1.0
cheap,5.0
tasteless,2.0
worth,9.0
spent,2.0
pretty,1.0
non,5.0
sterling,1.0
full,35.0
left,3.0
mandatory,1.0
wish,6.0
main,21.0
accessible,4.0
disappointing,18.0
long,27.0
large,14.0
horrible,11.0
general,7.0
early,23.0
waited,2.0
mid,1.0
unavoidable,1.0
real,11.0
park,1.0
strange,12.0
potential,3.0
elevated,1.0
free,30.0
sleep,10.0
average,11.0
young,6.0
better,30.0
fresh,13.0
upgraded,5.0
lovely,8.0
mixed,2.0
regular,7.0
sized,2.0
adequate,6.0
own,15.0
british,3.0
complete,5.0
powdered,1.0
affect,1.0
undergoing,2.0
massive,3.0
louder,1.0
sandy,1.0
slow,20.0
table,8.0
helpful,22.0
lot,4.0
direct,5.0
initial,5.0
beautiful,5.0
inadequate,2.0
useful,2.0
desired,1.0
previous,14.0
official,3.0
earlier,6.0
normal,3.0
