adjective,adj_count
beautiful,93.0
real,11.0
great,400.0
original,7.0
new,23.0
restaurant,7.0
lacking,1.0
excellent,272.0
vegetarian,1.0
minor,3.0
fantastic,82.0
good,656.0
cute,4.0
nice,329.0
lovely,66.0
outdoor,2.0
amazing,44.0
romantic,4.0
modern,110.0
awesome,12.0
main,29.0
spacious,112.0
quiet,259.0
friendly,451.0
high,27.0
positive,181.0
big,74.0
many,36.0
top,17.0
true,5.0
more,29.0
bit,1.0
pricey,3.0
little,53.0
eatery,1.0
style,1.0
unique,6.0
comfortable,457.0
large,58.0
double,18.0
lush,3.0
spectacular,3.0
historic,4.0
cheaper,3.0
close,65.0
super,34.0
easy,83.0
cool,8.0
incredible,7.0
gentle,1.0
spanish,1.0
onsite,1.0
cafe,5.0
busy,13.0
brilliant,31.0
comfy,60.0
helpful,456.0
familiarized,1.0
old,19.0
such,27.0
enormous,4.0
eggs,1.0
few,29.0
continental,7.0
only,9.0
whole,23.0
min,9.0
interior,9.0
easiest,1.0
relevant,1.0
huge,26.0
short,39.0
central,70.0
former,1.0
right,8.0
clean,370.0
safe,11.0
adjacent,2.0
gorgeous,13.0
special,38.0
own,12.0
less,7.0
perfect,68.0
agreeable,1.0
possible,10.0
multiple,3.0
different,16.0
welcome,20.0
typical,1.0
most,19.0
small,94.0
east,1.0
public,24.0
standard,10.0
disappointed,2.0
hot,35.0
least,4.0
wander,1.0
qualified,1.0
next,46.0
wonderful,33.0
expensive,11.0
sight,1.0
further,2.0
centre,4.0
courteous,21.0
renovated,1.0
brunch,1.0
massive,10.0
impressive,10.0
exquisite,2.0
gigantic,1.0
amsterdam,2.0
park,5.0
peaceful,10.0
tram,7.0
first,29.0
best,43.0
needed,2.0
hard,8.0
bed,6.0
metro,3.0
sure,11.0
birthday,14.0
free,102.0
front,8.0
wish,4.0
happy,18.0
open,7.0
warm,22.0
minimal,2.0
major,14.0
last,11.0
preferred,2.0
complete,4.0
final,1.0
stunning,3.0
stylish,21.0
young,9.0
undercooked,1.0
limited,3.0
cereal,1.0
requested,2.0
valuable,5.0
extra,37.0
ready,10.0
early,16.0
hall,1.0
fresh,23.0
grand,7.0
chatty,1.0
fabulous,15.0
keen,3.0
upstairs,1.0
strong,4.0
normal,2.0
interesting,4.0
nearest,4.0
tidy,6.0
several,14.0
unfinished,1.0
hectic,4.0
red,5.0
light,8.0
local,12.0
largest,1.0
available,19.0
better,14.0
upgraded,18.0
larger,6.0
due,20.0
ident,1.0
cleanliness,1.0
outstanding,7.0
pleasant,52.0
heaven,1.0
pretty,3.0
sweet,2.0
responsive,5.0
individual,2.0
worn,1.0
much,40.0
wooden,2.0
other,40.0
similar,6.0
beaten,1.0
bad,13.0
purpose,2.0
boutique,7.0
green,5.0
ten,1.0
shower,31.0
minute,14.0
accessible,6.0
classy,3.0
fine,17.0
plentiful,9.0
cold,6.0
nearby,6.0
willing,12.0
funky,2.0
medical,2.0
baked,2.0
cheerful,5.0
deluxe,2.0
long,16.0
round,1.0
bath,2.0
speak,1.0
exceptional,8.0
unusual,4.0
gothic,1.0
didn,6.0
got,1.0
exterior,1.0
black,2.0
stop,2.0
overall,23.0
isn,1.0
tiny,11.0
delicious,24.0
restraint,1.0
confortable,4.0
daily,4.0
euros,1.0
hassle,2.0
attentive,45.0
memorable,2.0
atmosphere,8.0
welcoming,10.0
complimentary,38.0
cafes,2.0
general,6.0
enjoyed,2.0
plenty,13.0
polite,62.0
delightful,3.0
smart,14.0
upheaval,1.0
separate,15.0
arrival,4.0
fern,1.0
trams,1.0
usual,8.0
couple,3.0
kept,1.0
arent,1.0
important,7.0
cozy,5.0
eaten,1.0
wifi,3.0
stay,12.0
arena,1.0
whilst,1.0
hear,1.0
impeccable,2.0
previous,1.0
cheap,2.0
thankful,1.0
chic,2.0
sleek,2.0
rental,1.0
older,1.0
loft,1.0
door,4.0
outside,6.0
beutiful,1.0
superb,11.0
tasty,9.0
equipped,4.0
traditional,2.0
particular,5.0
knowledgeable,7.0
full,16.0
stayed,3.0
professional,31.0
desk,1.0
fair,3.0
duplex,1.0
impersonal,1.0
unhelpful,1.0
touch,10.0
surprise,4.0
luxurious,17.0
tasteful,3.0
bright,4.0
absolute,2.0
daytime,1.0
direct,6.0
accommodating,2.0
fan,1.0
warmish,1.0
powerful,10.0
rear,2.0
marble,2.0
garden,4.0
spend,1.0
worth,4.0
future,3.0
acceptable,3.0
same,5.0
entire,4.0
convenient,29.0
planned,1.0
superior,9.0
higher,7.0
lower,1.0
english,8.0
relax,2.0
underground,47.0
adequate,5.0
wide,6.0
basic,4.0
serviced,1.0
mobile,7.0
able,20.0
gluten,3.0
strict,1.0
diet,1.0
stuff,1.0
glad,1.0
efficient,32.0
popular,2.0
fab,7.0
cosy,15.0
bonus,3.0
personal,10.0
liked,1.0
theatre,7.0
useful,6.0
reasonable,19.0
aspect,1.0
firmer,1.0
damp,2.0
overallthe,1.0
handy,14.0
decent,13.0
bigger,6.0
neat,5.0
flat,2.0
table,2.0
dry,3.0
retractable,1.0
sink,1.0
fellow,1.0
european,1.0
wasted,2.0
breakfast,3.0
spotless,14.0
second,21.0
warmth,1.0
ample,2.0
initial,1.0
quick,11.0
favourite,2.0
earls,3.0
safer,1.0
taxi,1.0
late,7.0
attractive,4.0
freshly,2.0
sleep,4.0
functional,5.0
eager,3.0
earl,2.0
approachable,5.0
buffet,3.0
thoughtful,1.0
lone,1.0
stable,1.0
compact,8.0
decorated,2.0
frequent,3.0
granite,1.0
arrive,2.0
phenomenal,2.0
joyful,1.0
fault,1.0
enjoyable,8.0
heavy,2.0
enough,7.0
ith,4.0
key,2.0
restful,3.0
fluffy,3.0
have,2.0
duvet,1.0
proper,2.0
couldn,6.0
half,2.0
alright,1.0
soft,6.0
happier,1.0
desirable,1.0
booked,1.0
obliging,4.0
maintained,2.0
tube,6.0
underfloor,3.0
longest,1.0
plus,2.0
single,5.0
apt,1.0
ideal,7.0
heathrow,2.0
austrian,1.0
tea,4.0
quite,3.0
travel,2.0
wrong,2.0
comprehensive,1.0
rare,3.0
charming,1.0
