identifier_plus_noun,identifier_count,noun_count,phrase_count,PMI
possible site,2,1,1,13.484822894262146
small room,44,100,16,6.381535085850124
2nd floor,1,22,1,10.025391275624848
duplex room,3,100,1,6.256004203766265
big window,9,5,3,10.577932298653627
high ceiling,4,3,3,12.484822894262146
hello rain,1,1,1,14.484822894262146
least i,1,2,1,13.484822894262146
duplex btw,3,1,1,12.899860393540989
more volume,13,1,1,10.784383176121054
high ceiling,4,3,3,12.484822894262146
next day,17,14,6,9.174967631675358
next day,17,14,6,9.174967631675358
best way,3,3,1,11.314897892819832
new room,8,100,2,5.840966704487421
wonderful waist,1,1,1,14.484822894262146
internal garden,1,2,1,13.484822894262146
big window,9,5,3,10.577932298653627
constant noise,3,7,2,11.092505471483385
vent tube,1,2,1,13.484822894262146
next day,17,14,6,9.174967631675358
most room,2,100,1,6.840966704487421
narrow step,6,4,1,9.899860393540989
single level,7,4,1,9.677467972204541
tea coffee,3,9,3,11.314897892819832
empty fridge,5,2,1,11.162894799374783
angry dog,1,1,1,14.484822894262146
heavy rainfall,2,1,1,13.484822894262146
common occurrence,4,1,1,12.484822894262146
earlier water,1,7,1,11.677467972204541
second floor,11,22,1,6.565959656987551
next door,17,9,6,9.81239755229065
old building,9,7,3,10.092505471483385
last night,3,15,1,8.99296979793247
different room,10,100,3,6.104001110321215
s room,6,100,1,5.256004203766265
only book,17,2,1,9.397360053011806
false advertising,1,1,1,14.484822894262146
together leaving,1,0,1,0.0
40th birthday,1,1,1,14.484822894262146
total mess,1,1,1,14.484822894262146
clean room,5,100,2,6.5190386096000585
actual room,2,100,2,7.840966704487421
quit dirty,1,2,1,13.484822894262146
also check,5,6,1,9.577932298653627
o clock,1,1,1,14.484822894262146
much noise,8,7,2,9.677467972204541
big noise,9,7,1,8.507542970762229
wrong direction,4,1,1,12.484822894262146
computerized telephone,1,1,1,14.484822894262146
basic room,4,100,2,6.840966704487421
old tv,9,4,1,9.314897892819832
wouldn t,1,8,1,11.484822894262146
steep step,9,4,2,10.314897892819832
negative comment,2,1,1,13.484822894262146
electronic key,1,1,1,14.484822894262146
t change,27,3,2,9.14497289137752
minor issue,3,8,2,10.899860393540989
upper level,2,4,2,12.484822894262146
narrow twist,6,1,1,11.899860393540989
mobile phone,3,2,2,12.899860393540989
thr tv,1,4,1,12.484822894262146
t work,27,3,2,9.14497289137752
loose cover,1,2,1,13.484822894262146
overrated disaster,1,1,1,14.484822894262146
other room,19,100,6,6.178001691764992
very disturbing,6,0,2,0.0
black bathroom,5,13,1,8.46245508123369
worst design,2,3,1,11.899860393540989
whole hotel,8,20,1,7.162894799374784
attic room,2,100,2,7.840966704487421
daylight robbery,1,1,1,14.484822894262146
s something,6,2,1,10.899860393540989
whole time,8,18,1,7.314897892819833
t feel,27,2,1,8.729935392098676
more annoying,13,1,1,10.784383176121054
other room,19,100,6,6.178001691764992
good sleep,21,3,1,8.507542970762229
amazing view,2,3,1,11.899860393540989
black glass,5,2,1,11.162894799374783
s cool,6,2,1,10.899860393540989
enough light,5,2,1,11.162894799374783
loft space,3,9,1,9.729935392098676
second tv,11,4,1,9.025391275624848
little lay,23,2,1,8.961260938205132
still renovating,3,0,1,0.0
different room,10,100,3,6.104001110321215
identical floorplans,1,1,1,14.484822894262146
little space,23,9,1,6.79133593676282
ongoing construction,1,7,1,11.677467972204541
little bit,23,9,4,8.79133593676282
pricey side,2,11,1,10.025391275624848
extensive restoration,3,1,1,12.899860393540989
old hospital,9,1,1,11.314897892819832
urine order,1,1,1,14.484822894262146
mattress pad,1,1,1,14.484822894262146
lady pushing,1,0,1,0.0
poor sign,4,2,1,11.484822894262146
temporary reception,5,4,2,11.162894799374783
weird solution,2,1,1,13.484822894262146
only thing,17,12,6,9.397360053011806
more night,13,15,1,6.877492580512535
other room,19,100,6,6.178001691764992
great deal,6,5,2,10.577932298653627
temporary reception,5,4,2,11.162894799374783
dark area,2,7,1,10.677467972204541
central staircase,5,6,1,9.577932298653627
ordinary buffet,1,2,1,13.484822894262146
several part,4,3,1,10.899860393540989
little search,23,1,1,9.961260938205132
first floor,25,22,3,6.96649758657128
new wing,8,1,1,11.484822894262146
meant reception,1,4,1,12.484822894262146
temporary pop,5,1,1,12.162894799374783
window area,1,7,1,11.677467972204541
first rate,25,1,1,9.840966704487421
major construction,8,7,2,9.677467972204541
trained check,1,6,1,11.899860393540989
then serving,1,0,1,0.0
high ceiling,4,3,3,12.484822894262146
even saying,3,0,1,0.0
not cooling,17,1,2,11.397360053011806
second day,11,14,4,9.218036353567244
empty half,5,1,1,12.162894799374783
temporary lobby,5,1,1,12.162894799374783
empty courtyard,5,1,1,12.162894799374783
random bit,1,9,1,11.314897892819832
first floor,25,22,3,6.96649758657128
