,room,bath,food,design,location,payment,staff,amenities,general,health
0,airbed,tumble drier,iced coffee,layout,neigbouring,abanka,friendlier,electronic safe,apart-hotel,gonorrhea
1,window sashes,shower stall,capucinno,barrack,beachside,abarrel,receptionister,shoe polish ,cleanliness,cough
2,baseboard trim,purifier,steaming cups,interiors,neighboors,accept,receprion,sauna,loungeroom,chemist
3,antechamber,sauna,falafel sandwiches,sleekness,taxis,accommodate,recepcionists,documentaries,quietness,infection
4,windowsill,cistern,veal ,paneling,neighour,accommodation,receiptionist,swimming-pool,3star,myopia
5,vinyl wallpaper,liquid,stouffers,shape,neighborhoods,account,friendley,private parking,standards,calcium
6,doorbell,towel rails,jasmine flowers,fashione,campsites,accountancy,receptioniat,billiard room,roadhouse,cirrhosis
7,wingback chair,tub shower,lemonade,paintjob,geographical coordinates,accountholder,concierage,carpark,banquet hall,schizophrenia
8,bedsheets,washrag,micronutrient fortified,maple,neigburgh,accounting,communication,workplaces,banister,hernia
9,glass,cleansing wipes,mangosteen,colours,neigbours,accrue,employies,usb charging,dweller,leprosy
10,doors ajar,vacuuming,gmcr specialty,decorator,carpark,accumulate,personnality,guarantie,airy atrium,therapeutic
11,luggage,garbage can,tavern,building,neighbourghood,acquirer,recept,luggage,veranda,nurse
12,wall claddings,jetted tub,coffee ,environent,neighter,acquittal,host,wine goblet,garage,allergy
13,microfiber,washing detergent,paczki,ambiance,neibourhood,actuarially unsound,receptionanist,motorscooter,infrastucture,hepatitis
14,deck,wax,snack shop,paintjobs,neigbor,ad valorum taxes,receptionist,tranpsporting,terrace,metabolic
15,bedpan,whirlpool suite,guittard chocolate,environ,beach,adjustment,receptione,fitnesss,banqueting room,diabetes
16,wooden paneling,washtub,bennigan restaurant,fashions,department,admission,etiquett,dvd,benches,diarrhea
17,doorway,washer,homemade onion rings,interieuer,neigborhoods,advance,food runner,sewing kit,basement,abstinence
18,wool rug,whirlpool bath,cuisine,polished alloy wheels,neighbor,advertisement,friendlies,handbags,housing,bronchitis
19,soundproof booth,dustbin,minglers,barroom,neighbors,afghani,recess,assign,playroom,bones
20,couches chairs,tub spout,fraРіВ®che,hardwood,terrace,afn,friendlieness,reception desk,nan,dementia
21,bedsore,tub,plum ,designworks,neighboor,agora,etics,reception room,travelodge ,psoriasis
22,sofa,hair drier,oatmeal cereal,architecture,train,agreements spas,housecleaner,hydrotherapy tub,lodging,syringe
23,sleeper compartment,dryer vent,yoghurt,atmosphere,neighbohood,ahbr,professionalists,conference room,pension,chlamydia
24,stepstool,washer dryer hookup,sugar ,mahogany ,address,akant,translations,evaluator,banqueting hall,breathe
25,stone,washing machine ,guava nectar,polished hardwood floors,surrouding,alimony,bartender,arrival,star,flu
26,soundproof window,shampoo conditioner ,homemade hummus,aluminum,coordination,allianz se dresdner,incompetence,courier,stairway,sanitary
27,anthracite colored,bathrobe,noodle bar,polished mahogany,establishments,allocated,telecommunicator,transfer,tranquility,broken bone
28,floor,deoderant,philly steaks,interieur,neighborns,allocation,engineers,ambulance,positioning,stress
29,vinyl upholstery,cleansing,scrambled eggs bacon,illuminations,area,allottee,friendlystaff,evacuating,health resort,bruise
30,rocker recliner,bathing suit,perishable items,stained glass,coordinate,allowance,conciarge,takeaway,aparthotel,constipation
31,whirlpool suites,dry vac,crРіС‘me brulee,silhouette,establiments,aluminium cmal3,bellman,babysitters,exterior,cholera
32,foldaway bed,sponge,stuffed potato skins,ergonomics,shopping plaza,amd,receptiion,wardrobe,cab,drugstore
33,sofabed,faucet,lasagna,designing,facades,amended facility,leader,disconnection,parking,condition
34,wheeling suitcase,garbage disposer,dessert ,paint,gardenview,amends,manpower,babysitting,boutique,virus
35,wardrobe,shampooers,fonio,furnishings,streetfront,amikura,fees vary,documentries,vacation,autism
36,recliner,hair dryer,gujarati thali,typography,sideroads,amm copper,friendli,facilities for disabled guests ,lobby,thrush
37,vent,container,capuccino,envirorment,downtown,amortization,negotiation,elevator,guestroom,patient
38,ambient,air conditioning duct,fair grinds,openings,foyeur,amount,receptionis,heater,5star,gastritis
39,cloths,garbage pail,la tolteca,material,coaster,an amount expended.,receptionnists,bike,questionnaires,sarcoma
40,wooden stool,paper towels,flame broiling,designhotel,neibrhood,anacap,subordinate,left-luggage office,motel,epidemic
41,vinyl tablecloth,washhouse,turmeric,styling,garrage,ang,server,stove,elevator,lumbar
42,acoustical panels,extractor fan,nonperishable food items,environmemt,departmental,annuity,stoolman,cargo,robes,lisp
43,balcony,shaving foam,flavored lattes,stucco,neighbouhood,ante,saleswoman,gyme,4star,melanoma
44,daybed,dryer hookups,grated cheddar,,dependant,antipodean currencies,personnel,evaluation,entrance,tonsillitis
45,nightshirt,aqua,tex mex,interier,establiment,aoa,chef,autopilot,neighbour,lipoma
46,bra,washbag,lentil,environments,neigbors,appraisal,translating,hydrotherapy spa,vestibule,atrophy
47,pillows rugs,hair conditioner,muscatel,landscape ,gardeners,appraised value,guarder,wifi,hospitality,aphasia
48,wooden bunk beds,washing machines dryer,veggie,shapes,streetwalker,appraisement,friendlinness,businesses,staircase,anemia
49,floorboards,wet vac,tuna,geometry,campbed,appraiser,salary,yoga mat,restroom,pill
50,pillowcase,wet rag,cokes,redesign,coordinating,appropriated,team,commutation,atrium,gout
51,sofas armchairs,footrest,razzoo,designo,geographical location,apsar,receptioist,birthing,advertisement,jaundice
52,wifi,moisturizer,basic foodstuffs,polished chrome,neighbour,arabica futures,sergeant,banqueting room,experience,vitiligo
53,velvet coat,tube,fragrant aroma,colour,neightbors,argentine peso,friendliess,transportation,questionnaire,endometriosis
54,mosquito netting,washer drier,soft drinks ,typographic,neighborhood,ariary,receptioinst,conference,roller suitcase,hormone
55,stool,urine faeces,l' auberge,envoirement,pavement,armenian dram,receptacle,entertainer,facility,chickenpox
56,acoustic,handwash,mayonnaise ,plasterwork,geolocation,ars,cook,asistance,safety,narcolepsy
57,seating,garbage dumpster,greasy potato chips,art,neighburing,asking price,friendlyand,commuting,banqueting suite,amnesia
58,bunkbed,soothing massage,grated parmesan,baroque,neighboures,assessment,concergies,cable,attic,hypertension
59,bedding curtains,deodorizer,greasy spoon cafe,facade,dependance,asset,maitre,shoe brush ,dormitory,syrup
60,3br,bathroom cabinetry,ramyeon,aethetis,interior,association bdb,concerge,aquarium,lodging house,influenza
61,bedframe,detergent,sake lounge,envronment,sea,atm,translate,ironing board,hostel,surgeon
62,fabric,washcloths,steak sandwich,decor,shopping,atm debit cards,concierges,internet,parador,wart
63,carpeting,clawfoot bathtub,utensil,surfaces,dependence,atm surcharges,expeditor,robing room,rooming,backache
64,curtain,lotion,kebab,spaciousness,entryway,attorney,superviser,oven,bannister,medical
65,baseboard molding,garbage receptacle,dagwood deli,fabrications,neighborhoood,attractively priced,cooperator,stockroom,,bandage
66,marble,scrub,spinach ricotta,deco,geo location,auction,receptionests,swimming,,syphilis
67,upholstery,chemicals,pour marinade,style,atmosphere,auctioneer,instructor,bar,,pyelitis
68,hypoallergenic,toothbrush,grated potatoes,alcantara,distances,aud,concierging,birthday,,urticaria
69,doorsill,ziploc,micro brewed,designer,beaches,audit,assistant,shopkeeper,,dentist
70,couchette,jacuzzi,unpasteurized apple cider,modeling,addressing,avo,service,bodyguard,,health
71,workroom,wastepaper bin,braised lamb shanks,luxurious,neibourghood,award,receptiin,usb,,hospital
72,soiled linen,whirlpool,beer ,artwork,traffic,awd moneyextra,receptionest,booking,,pneumonia
73,sleeping compartments,urinal,dinner ,nan,ballroom,awg,conceirge,dental kit,,tuberculosis
74,accent pillows,washstand,chocolate martini,aestheticly,avenue,axfj,recepctionist,photocopying,,menopause
75,cabinetry,soap,homemade ice cream,polished floorboards,railway,azn,employing,swimming pool whirlpool,,treatment
76,ceilings,bathhouse,human lactoferrin,polished aluminum,dependent,balance,council,transporattion,,ophthalmologist
77,ashtray,whirlpool jets,keebler crackers,fashionistas,neibourgh,bam,cooperativeness,tobacco,,pain-killer
78,noise,air conditioning,top pot doughnuts,barstaff,neigborhood,bank,recervation,spa and wellness centre,,cellulitis
79,window valances,footbath,cottage cheese ,marble,gardens,bank natixis cnat.pa,attendant,availabilty,,general practitioner
80,rolltop desk,heater,coffee cupping,athmosphere,motorway,bankcards,sergeants ,,,pain
81,4dbrm,deodoriser,veggie wraps,ergonomic,establishment,banker,receptions,connector,,ache
82,illumination,bathroom faucet,mongolian stir fry,ambient illumination,neighbourhoud,banker acceptance,conciergue,logistic,,botulism
83,wooden banister,oil,vegetarian chili,environment,camped,banking,concierege,whirlpool spa,,epilepsy
84,dorm room,washing ironing,fried zucchini,roofline,districs,bankless,employee,whirlpool sauna,,hemorrhage
85,bed linens,footwells,bagels croissants,atrium,taxi,banknote,waitressses,swimpool,,anorexia
86,bedside commode,washroom,fried tempura,fashion,foye,bargain,attendants,iron,,
87,smoke detector,moist towelette,donairs,paintable,basement,barrel clc1,receptionsits,baggage,,insomnia
88,bedlinen,vent hose,soda fountain,color,neibor,barter,officer,airport shuttle,,malaria
89,bedpost,aerosol,darling christine o'donnell,aesthetic,neighboohood,barterer,barista,vacuumcleaner,,medication
90,drying rack,cleaner,tasty,bar,neiberhood,bartering,receptopn,spa manicure,,muscular
91,bedhead,dryer duct,photographer chocoholic,paintwork,pedestrian,bbd,honorar,launderette,,runny nose
92,apartment,garden hose,wangfujing shopping district,environement,geopositioning,bdt,negotiations,boardgames,,tranquilizer
93,electrical sockets,washcloth,chicken consomme,interiers,river,bearer,saladmaster,table lamp,,medicine
94,wooden stairway,corridor,topping,enviromnment,path,beggar,owner,fitnescenter,,ascites
95,passageways,towel rack,homemade guacamole,design,streetlamp,begging,receiptionists,vacuuming,,leukemia
96,pillowtop,bathrobes,rum lime juice,architect,mall,belgium bel## index,incompetents,wheelchair,,eczema
97,foldout couch,shampoo bottle,curry spice,leather,backstreet,"bellow #,#### resistance",personnels,minibar,,piles
98,legroom,sprayer,sardine ,plaster walls,addresse,benefaction,receptcion,pet allowed,,astigmatism
99,roofspace,bidet,hibiscus tea,aesthetics,railroad,benefactor,representative,flatscreen tv,,rash
100,5g,perfumes,pear ,decorating,parking,bennenbroek,boss,washing machine,,neuralgia
101,lighting,cleansing toning,honey,drawing,neigbourhoods,bgn,staff,sportsbar,,plaster
102,accommodations,hand sanitizer,shape angius,illumination,neighburs,bhd,employer,gym,,lupus
103,doorframe,powder,fish and chips ,designs,neighbourd,bidder,deptartment,vacuum cleaner,,breath
104,wheelchair,condominium,canned fruit,redecoration,geographical proximity,bidding,guardians,guaranti,,schistosomiasis
105,dorm,wastepaper basket,mayonnaise,granite,foyers,bif,guarding,shoe shine,,nan
106,cushions,cleansing lotion,cassia,plaster ceiling,neiborhood,bill,receptionista,hydrotherapy pools,,smallpox
107,scent,toothbrush holder,simit,craftsmanship,facad,billables,friendnnes,fitnessroom,,cataract
108,space,hot tub,harar sidamo,decoration,neiboughroud,billfold,disorganization,aquatics,,hypothyroidism
109,ventilation grilles,nan,roasters guild,roominess,boulvard,billing,conceirege,billiard parlor,,headache
110,rocking chair,condo,marmite sandwiches,illuminating,neighbouroud,billion,serviceman,cigar lounge,,typhoid
111,acoustical tiles,cream,cranberry,environs,campsite,bite,conciage,yogi patel,,cancer
112,2bdrm,septic,chiles rellenos,envoirment,neigherhoods,bkla,personnelle,booker,,sunburn
113,sofa pillows,wetroom,crisps ,barracks,tram,blackmail,chief,wine cellar,,sinusitis
114,bar stool,shampooer,noonday meal,red brick facade,neighbouring,bmd,recepsion,boardgame,,carcinoma
115,acoustically engineered,lavatory,caf,furnishing,neighbourg,bnd,clerical,handbasins,,meningitis
116,vacuum cleaner,mop,cheese spread ,concept,pedestrian walkway,board dxy,dealer,laundry slip ,,dyslexia
117, ,whirlpool tub,chopped onions,woodwork,neiborghood,bob,receptive,handbaggage,,myeloma
118,footprint,toothpaste,rhubarb crisp,barservice,neiboughrhood,boe qe,salesman,pool whirlpool spa,,disease
119,fridge,shower curtain,cathy whims,illuminate,sidewalk,boj mof,friendliest,entertaining,,harmful
120,sleeper sofa,shampooing,harborside restaurant,stucco exterior,camping,boliviano,gangmen,specification,,allergic
121,furniture,wraps facials,robusta,chrome,carriageway,bond,receptionen,evaluating,,bacteria
122,candle,bathroom fixtures,sweet potato pies,environtment,lanes,bond futures #jgbv#,receptioninsts,satellite tv,,atherosclerosis
123,mantels,shower nozzle,escarole,enviroment,highway,bond yields,receptonist,awakening,,inflammation
124,pillows cushions,steam,involtini,minimalism,facade,bonded indebtedness,disorganisation,dryer,,spondylitis
125,entryway,sanitizer,iced chai,polished stainless steel,bus,book,doorman,guaranteed,,safety
126,divan,antibacterial,hungry ,appearance,neighbouringing,booking,inservice,satellite channels,,fracture
127,ballroom,garbage chute,kot kai,,commuter,bookings,superintendent,24-hour reception,,mumps
128,kitchenette,washbasin,hungry tummies,,driveways,borrower,waitressing,billiard hall,,nauseous
129,soffit,whirlpool bathtub,fritta,,patio,borrower defaulted,professionall,writing table,,convalescence
130,bed roomed,soap detergent,hostelry,,backstreets,borrower refinances,physiotherapist,banqueting hall,,dizziness
131,balcony railing,toiletries,croissant,,neighbooring,borrower repays,recepion,spa pedicure,,ointment
132,cushion,antiseptic,egg tarts,,distance,bounty,administative,bundle,,stomachache
133,woodgrain trim,ceramic tile,bockwurst,,foyer,boxed beef,deparment,fitnes,,depression
134,armrests,water softener,brats burgers,,neirborhood,br#.# trillion,engineering,billiard parlour,,glioma
135,wheelarches,gel,baked apple pie,,neibour,branch,visit www.vipdesk.com,grille,,herpes
136,ventilation hoods,wringer washer,spaghetti ,,rickshaws,brazilian real,firefighters,automation,,eye drops
137,wallpaper,towel dispenser,gratzi,,taxicabs,brent crude,receptinist,clubroom,,chills
138,ceiling,cloakroom,linens china,,street,brent crude lcoc1,receptioninist,connecter,,cystitis
139,bedroom,dumpster,bbq chicken,,entrance hall,brent lcoc1,receptionstaff,excursion,,encephalitis
140,chandelier,sponge bath,subway sandwich,,postal,bribe,negotiating,documentary,,lymphoma
141,sodden tomb,jets,deli bakery,,ave.,briber,installer,cable tv,,measles
142,smoke,toilette,chez gerard,,neighberhood,brighter borough,receptin,gymnasts,,respiration
143,commode,tub faucet,der wienerschnitzel,,halls,british pound cur gbpusd,receptienest,entertainment,,fever
144,bunkroom,razor,boneless chicken wings,,outlet,brl,doctor,documentation,,arthritis
145,bookcase,disinfect,salad applesauce,,establishement,brl#.##,saleslady,swimmigpool,,ulcer
146,floorboard,shampoo,segafredo,,district,brl#.###,hotel clerk,lockerroom,,impotence
147,airier,soaker tub,pesto pasta,,hall,brl#.####,receipionist,password,,acne
148,bdrm,bathroom fitting,roaster,,carriageways,broad topix index,concider,flatscreen,,migraine
149,air conditioned,toweling robe,ice cream parlor,,blocks,broader hdax index,sommelier,room-service,,specialist
150,wheelarch,dehumidifier,larkburger,,road,broker,front desk,cafe,,osteoporosis
151,towel rack,cleanser,shepherds pie,,metro,brokerage,doormen,locker room,,physician
152,foyer,sponge mop,panarottis,,nan,brownfield cleanups,emploee,aquapark,,cold
153,sock drawer,garbage disposal,moet chandon,,neighboirs,bsd,recepsionist,handbasin,,dangerous
154,locked desk drawer,shower cubicle,roastbeef,,city,bt## bt##,dispatcher,media hub,,trauma
155,wool blanket,waterless toilet,mcmuffins,,limousine,btm ufj currency,receptacles,complimentary tea,,anxiety
156,duvets,bathmat,protein,,neiburs,btn,cooperatif,connect,,pertussis
157,worktable,garbage compactor,sandwitch,,transport,buck,etiquette,gymnast,,
158,footstool,diffuser,phensidyl,,neighborood,budget,management,letter head,,loss
159,headboard,ziplock bag,salmon ,,seafront,budgeted,firemen,safe,,cardiac
160,desk,shower gel,teahouse,,streetcorner,budgeting,aesthetician,bonus,,disorder
161,workbench,washlet,lapsang souchong,,geocode,builder,recepionists,mini fridge,,transplant
162,coat,washing rinsing,etta seafood,,surroundings,bukopin,translation,charger,,asthma
163,ventilate,wastebasket,tearoom,,outdoor,bulgarian lev,honorarirum,busboys,,therapy
164,sideboard,freshener,mallomars,,neiboughood,bund futures,guard,physiotherapy,,hypermetropia
165,airy spacious,garbage bin,grated cheese ,,neiberhoud,bund futures fgblc1,receptibe,room service,,colitis
166,drawer,wiping cloth,uncommon grounds,,campus,bund yield,miscommunication,cinema,,tetanus
167,bed headboard,soaker tubs,foodstall,,location,bund yields,fireman,shower cap,,midwife
168,sofa loveseat,washroom stall,reuben sandwich,,streetside,bundle,drycleaner,spa treatments,,blood
169,leather,slippers,outdoor seating,,sidestreet,business,cooperability,ascensor,,plague
