word,sentiment,std
wretched,-3.43,0.34
sinful,-3.41,0.28
miserable,-3.28,0.3
sick,-3.14,0.25
degraded,-3.13,0.3
wicked,-3.09,0.23
helpless,-3.0,0.48
forlorn,-2.99,0.43
weak,-2.93,0.29
starving,-2.87,0.44
heartless,-2.8,0.28
vicious,-2.79,0.34
dreadful,-2.77,0.59
ignorant,-2.76,0.34
dependent,-2.73,0.51
destitute,-2.69,0.44
stricken,-2.67,0.51
corrupt,-2.67,0.4
blind,-2.67,0.4
shocking,-2.64,0.56
wrong,-2.62,0.55
perverse,-2.62,0.39
criminal,-2.58,0.62
distressed,-2.56,0.48
vile,-2.56,0.41
dying,-2.56,0.4
desolate,-2.56,0.47
malignant,-2.55,0.6
terrible,-2.55,0.71
ungrateful,-2.54,0.37
worst,-2.5,0.64
infamous,-2.5,0.42
stupid,-2.49,0.38
guilty,-2.48,0.41
foolish,-2.48,0.36
heathen,-2.42,0.39
pernicious,-2.41,0.71
worse,-2.41,0.57
dumb,-2.39,0.52
silly,-2.39,0.39
brutal,-2.37,0.47
naked,-2.36,0.54
despairing,-2.35,0.49
ill,-2.34,0.49
sorry,-2.34,0.39
mischievous,-2.34,0.56
diseased,-2.31,0.43
drunken,-2.29,0.46
ragged,-2.23,0.52
hungry,-2.2,0.53
disgraceful,-2.19,0.51
false,-2.19,0.5
prostrate,-2.18,0.53
poisonous,-2.17,0.75
selfish,-2.16,0.15
bloody,-2.12,0.67
hardened,-2.09,0.14
cruel,-2.06,0.15
faint,-2.04,0.58
cowardly,-2.03,0.1
fearful,-2.01,0.82
frightened,-2.0,0.46
lazy,-2.0,0.5
repulsive,-1.99,0.72
sore,-1.99,0.56
sickly,-1.97,0.55
deadly,-1.97,0.69
insane,-1.96,0.64
ruinous,-1.96,0.54
irish,-1.93,0.62
fatal,-1.89,0.73
crazy,-1.88,0.53
unjust,-1.87,0.18
abominable,-1.86,0.83
servile,-1.84,0.14
hideous,-1.82,0.87
capricious,-1.8,0.12
senseless,-1.79,0.19
foul,-1.79,0.63
apt,-1.77,0.51
idle,-1.77,0.22
injurious,-1.76,0.72
wayward,-1.76,0.57
restless,-1.76,0.69
impending,-1.75,0.83
speechless,-1.74,0.3
dangerous,-1.74,0.63
uncomfortable,-1.72,0.67
vague,-1.72,0.75
awful,-1.72,0.95
ominous,-1.71,0.73
lifeless,-1.71,0.27
painful,-1.7,0.84
powerless,-1.7,0.18
feverish,-1.69,0.61
savage,-1.68,0.09
unutterable,-1.68,0.64
terrific,-1.68,0.88
needless,-1.67,0.66
odious,-1.67,0.67
unfavorable,-1.67,0.67
feeble,-1.67,0.29
grievous,-1.67,0.73
unreasonable,-1.67,0.14
hopeless,-1.66,0.19
dissatisfied,-1.65,0.69
tyrannical,-1.64,0.13
frightful,-1.64,0.99
insensible,-1.63,0.27
weary,-1.63,0.23
unnecessary,-1.63,0.68
depressed,-1.62,0.72
disastrous,-1.59,0.75
unconscious,-1.58,0.26
unworthy,-1.58,0.11
naughty,-1.58,0.7
deaf,-1.57,0.32
blank,-1.57,0.21
accursed,-1.57,0.14
afraid,-1.55,0.76
reckless,-1.55,0.17
ridiculous,-1.54,0.54
monstrous,-1.5,0.74
useless,-1.48,0.09
malicious,-1.48,0.17
worthless,-1.47,0.1
sleepy,-1.47,0.27
grim,-1.46,0.65
dead,-1.45,0.77
uneasy,-1.45,0.27
pitiful,-1.44,0.13
aching,-1.44,0.21
tired,-1.43,0.28
imperative,-1.43,0.79
prevalent,-1.43,0.86
imperious,-1.42,0.11
horrid,-1.42,0.98
insolent,-1.42,0.13
rash,-1.4,0.2
bleeding,-1.39,0.3
bruised,-1.37,0.29
indifferent,-1.37,0.21
dirty,-1.34,0.23
obstinate,-1.34,0.17
adverse,-1.33,0.73
desperate,-1.33,0.15
superstitious,-1.31,0.09
extravagant,-1.28,0.11
destructive,-1.28,0.31
healing,-1.28,0.66
furious,-1.27,0.17
ludicrous,-1.27,0.94
brooding,-1.27,0.73
absurd,-1.26,0.14
oppressive,-1.25,0.13
breathless,-1.25,0.22
motionless,-1.25,0.32
sour,-1.24,0.83
perverted,-1.23,0.92
indolent,-1.22,0.29
violent,-1.22,0.16
thoughtless,-1.19,0.78
ambitious,-1.19,0.14
nervous,-1.18,0.14
improper,-1.18,0.14
hard,-1.17,0.68
disappointed,-1.17,0.31
fraught,-1.17,0.82
angry,-1.16,0.17
arbitrary,-1.15,0.12
wan,-1.15,0.34
raw,-1.14,0.76
impatient,-1.14,0.19
treacherous,-1.13,0.17
stupendous,-1.13,0.93
profane,-1.13,0.13
exciting,-1.11,0.97
colored,-1.11,1.0
unnatural,-1.1,0.14
ashamed,-1.1,0.37
harsh,-1.09,0.12
unkind,-1.09,0.67
alive,-1.09,0.71
intrepid,-1.09,0.86
shattered,-1.09,0.21
despotic,-1.09,0.12
prophetic,-1.08,0.8
inconsistent,-1.08,0.11
mad,-1.08,0.19
forgetful,-1.08,0.23
confused,-1.07,0.23
barbarous,-1.07,0.14
frantic,-1.07,0.18
maternal,-1.06,0.78
haggard,-1.06,0.24
hostile,-1.05,0.12
indignant,-1.05,0.2
fierce,-1.05,0.12
insufficient,-1.04,0.17
superfluous,-1.04,0.06
eventful,-1.03,0.95
unknown,-1.02,0.2
exacting,-1.02,0.13
displeased,-1.02,0.29
dreary,-1.01,0.23
dismal,-1.01,0.23
morbid,-1.0,0.07
bewildered,-1.0,0.26
excited,-1.0,0.2
mute,-0.99,0.26
ghastly,-0.99,0.27
successful,-0.99,0.93
appalling,-0.98,0.56
astonished,-0.98,0.31
swift,-0.98,0.82
impetuous,-0.97,0.13
surprised,-0.97,0.3
gross,-0.96,0.25
inevitable,-0.96,0.38
incapable,-0.94,0.13
howling,-0.94,0.25
bare,-0.93,0.21
bitter,-0.93,0.14
disagreeable,-0.93,0.97
embarrassed,-0.93,0.26
worldly,-0.92,0.13
melancholy,-0.92,0.81
vivid,-0.91,0.92
awkward,-0.91,0.91
lonely,-0.91,0.28
sad,-0.9,0.77
troublesome,-0.9,0.15
sleepless,-0.9,0.11
infernal,-0.9,0.24
geographical,-0.89,0.96
youngest,-0.89,0.75
prevailing,-0.89,0.96
tame,-0.89,0.13
wild,-0.88,0.15
poorer,-0.87,0.75
unseen,-0.86,0.16
gloomy,-0.85,0.25
inherent,-0.85,1.04
vulgar,-0.84,0.17
unsettled,-0.84,0.17
offensive,-0.84,0.26
contemptuous,-0.84,0.18
disgusted,-0.83,0.21
inadequate,-0.82,0.2
formal,-0.82,0.94
notorious,-0.82,0.22
pagan,-0.82,0.17
formidable,-0.82,0.22
sullen,-0.81,0.23
fitful,-0.8,0.1
cheesy,-0.8,0.17
tremendous,-0.8,0.35
puzzled,-0.8,0.25
sudden,-0.79,0.32
tremulous,-0.79,0.22
improbable,-0.79,0.16
disordered,-0.78,0.11
intolerable,-0.78,0.17
unequal,-0.77,0.15
ruling,-0.75,0.12
solitary,-0.75,0.22
obscure,-0.75,0.28
anxious,-0.74,0.27
crushing,-0.74,0.14
sly,-0.73,0.22
visionary,-0.73,0.06
rude,-0.73,0.16
uncertain,-0.72,0.14
nameless,-0.71,0.08
glaring,-0.7,0.15
imminent,-0.7,0.18
civilized,-0.7,0.16
impracticable,-0.69,0.17
barren,-0.69,0.27
vacant,-0.69,0.27
olden,-0.69,0.85
suspicious,-0.69,0.18
victorious,-0.69,0.15
protracted,-0.68,0.24
unfit,-0.68,0.18
fruitless,-0.68,0.1
slaveholding,-0.68,0.12
tumultuous,-0.68,0.12
shrill,-0.68,0.16
asleep,-0.67,0.27
excessive,-0.67,0.14
severe,-0.67,0.17
contending,-0.67,0.09
habitual,-0.67,0.17
withered,-0.66,0.32
unsuccessful,-0.66,0.13
liable,-0.66,0.23
beneficent,-0.65,0.93
amazed,-0.65,0.23
beneficial,-0.65,0.38
abstracted,-0.65,0.23
alarming,-0.65,0.22
aged,-0.65,0.38
scornful,-0.65,0.19
toiling,-0.64,0.09
saxon,-0.62,0.2
jealous,-0.62,0.14
raging,-0.61,0.17
bleak,-0.61,0.26
quivering,-0.61,0.16
mocking,-0.61,0.16
extinct,-0.61,0.06
inclined,-0.61,0.33
drunk,-0.6,0.8
monotonous,-0.6,0.16
silent,-0.6,0.26
conflicting,-0.6,0.17
african,-0.6,0.13
timid,-0.6,0.25
dusty,-0.59,0.23
stony,-0.59,0.15
deficient,-0.59,0.16
incredible,-0.59,0.17
insignificant,-0.58,0.14
piercing,-0.58,0.12
arab,-0.58,0.14
wet,-0.57,0.22
noisy,-0.57,0.2
fluttering,-0.57,0.09
erroneous,-0.57,0.2
decayed,-0.56,0.23
odd,-0.56,0.12
lowest,-0.56,0.24
prolonged,-0.55,0.27
lowly,-0.54,0.73
vehement,-0.54,0.08
lone,-0.54,0.27
papal,-0.53,0.08
defective,-0.53,0.15
rough,-0.53,0.12
faltering,-0.53,0.23
dim,-0.53,0.19
unaccountable,-0.53,0.17
revolutionary,-0.52,0.16
pallid,-0.52,0.37
pleased,-0.52,0.31
momentary,-0.52,0.19
transient,-0.51,0.2
akin,-0.51,0.08
overwhelming,-0.51,0.29
pale,-0.5,0.28
enraged,-0.5,0.17
advantageous,-0.5,0.92
harmless,-0.49,0.64
spirited,-0.49,0.95
startling,-0.49,0.4
freezing,-0.48,0.27
passionate,-0.48,0.14
shy,-0.48,0.21
throbbing,-0.48,0.2
lame,-0.47,0.72
living,-0.47,0.93
involuntary,-0.47,0.13
empty,-0.47,0.22
salutary,-0.46,0.34
strange,-0.46,0.16
sectional,-0.46,0.14
loose,-0.46,0.17
sorrowful,-0.46,0.27
mexican,-0.46,0.23
eager,-0.46,0.12
powerful,-0.45,0.21
significant,-0.45,0.15
unwilling,-0.45,0.22
mysterious,-0.45,0.18
fantastic,-0.45,0.12
serious,-0.44,0.28
exempt,-0.44,0.08
declining,-0.44,0.18
childish,-0.43,0.21
muffled,-0.43,0.11
electric,-0.43,0.13
hasty,-0.42,0.09
cunning,-0.42,0.23
reformed,-0.41,0.15
unfinished,-0.41,0.12
aloof,-0.4,0.16
bald,-0.4,0.21
casual,-0.4,0.18
distant,-0.4,0.22
stern,-0.4,0.14
celestial,-0.39,0.95
dull,-0.39,0.21
russian,-0.39,0.15
mortal,-0.39,0.18
indefinite,-0.39,0.09
petty,-0.39,0.09
imaginary,-0.38,0.12
unmoved,-0.38,0.23
stormy,-0.38,0.15
damp,-0.37,0.24
austrian,-0.37,0.1
dred,-0.36,0.19
rocky,-0.35,0.26
occasional,-0.34,0.08
untimely,-0.33,0.15
likely,-0.33,1.0
hollow,-0.33,0.13
sunken,-0.33,0.21
sheer,-0.33,0.1
intense,-0.33,0.12
careless,-0.33,0.66
sombre,-0.32,0.22
conscious,-0.32,0.17
wont,-0.32,0.15
tedious,-0.32,0.25
hoarse,-0.32,0.11
unspeakable,-0.31,0.23
icy,-0.31,0.21
fiery,-0.31,0.14
humblest,-0.31,0.13
foremost,-0.31,0.12
concerned,-0.31,0.2
opposing,-0.31,0.12
arduous,-0.3,0.16
loud,-0.3,0.2
boiling,-0.3,0.09
memorable,-0.3,1.04
unearthly,-0.3,0.21
poorest,-0.29,0.11
frail,-0.29,0.75
endless,-0.29,0.11
privileged,-0.29,0.12
little,-0.29,0.77
secular,-0.28,0.1
frozen,-0.28,0.17
retreating,-0.28,0.11
burning,-0.27,0.18
incessant,-0.27,0.11
favorable,-0.27,0.84
aware,-0.27,0.19
objectionable,-0.27,0.29
hereditary,-0.26,0.09
momentous,-0.26,0.25
human,-0.26,0.19
boisterous,-0.26,0.17
continental,-0.26,0.1
canadian,-0.25,0.14
susceptible,-0.25,0.21
remote,-0.25,0.17
weaker,-0.25,0.27
finite,-0.25,0.16
inferior,-0.24,0.13
involved,-0.24,0.14
impenetrable,-0.24,0.07
potent,-0.24,0.19
feudal,-0.23,0.07
haughty,-0.23,0.13
old,-0.23,0.84
metallic,-0.23,0.11
undue,-0.23,0.22
mystical,-0.23,0.15
shadowy,-0.22,0.12
lingering,-0.22,0.17
mournful,-0.22,0.23
rigid,-0.22,0.16
imperial,-0.22,0.14
wintry,-0.22,0.22
organic,-0.22,0.22
temporal,-0.22,0.12
miscellaneous,-0.22,0.14
masculine,-0.21,0.12
unexpected,-0.21,0.2
inseparable,-0.21,0.18
fond,-0.21,0.24
complex,-0.21,0.16
scanty,-0.21,0.1
arid,-0.2,0.19
mere,-0.2,0.11
stiff,-0.2,0.13
ugly,-0.2,0.51
cold,-0.2,0.22
spontaneous,-0.2,0.09
gaunt,-0.19,0.16
interested,-0.19,0.2
joint,-0.19,0.13
inner,-0.19,0.09
missing,-0.19,0.18
territorial,-0.18,0.09
current,-0.18,0.15
french,-0.18,0.12
incidental,-0.18,0.14
dutch,-0.18,0.12
disputed,-0.18,0.09
manifold,-0.18,0.12
european,-0.18,0.06
abstract,-0.17,0.13
lower,-0.17,0.12
divers,-0.17,0.13
gradual,-0.17,0.13
heated,-0.17,0.19
identical,-0.17,0.13
tearful,-0.16,0.24
continual,-0.16,0.11
unlimited,-0.16,0.12
thrilling,-0.16,0.13
hoary,-0.16,0.26
advancing,-0.15,0.09
flat,-0.15,0.17
fore,-0.15,0.14
low,-0.15,0.2
paternal,-0.15,0.18
protective,-0.14,0.22
absent,-0.14,0.19
conservative,-0.14,0.17
indian,-0.14,0.09
english,-0.14,0.17
sharp,-0.14,0.12
marine,-0.14,0.19
extreme,-0.13,0.21
judicial,-0.13,0.15
heavy,-0.13,0.11
invisible,-0.13,0.12
minor,-0.13,0.16
continuous,-0.13,0.13
awake,-0.12,0.55
volcanic,-0.12,0.07
fanciful,-0.12,0.2
trifling,-0.12,0.16
winged,-0.11,0.16
elementary,-0.11,0.12
scotch,-0.11,0.14
superficial,-0.11,0.16
outer,-0.11,0.12
filial,-0.1,0.12
lasting,-0.1,0.23
warlike,-0.1,0.08
urgent,-0.1,0.09
darkest,-0.1,0.19
ponderous,-0.1,0.11
consequent,-0.1,0.16
thin,-0.09,0.17
legal,-0.09,0.19
encouraging,-0.09,0.17
valid,-0.08,0.12
stable,-0.08,0.11
chinese,-0.08,0.11
imperfect,-0.08,0.71
boyish,-0.08,0.15
premature,-0.08,0.13
spanish,-0.08,0.08
preparatory,-0.08,0.12
bodily,-0.08,0.08
turkish,-0.07,0.11
fat,-0.07,0.23
slightest,-0.07,0.09
subordinate,-0.07,0.12
rightful,-0.07,0.12
speculative,-0.07,0.1
ministerial,-0.07,0.05
instinctive,-0.07,0.1
foaming,-0.06,0.16
civil,-0.06,0.16
tory,-0.06,0.14
perpendicular,-0.06,0.08
radical,-0.05,0.29
german,-0.05,0.13
alleged,-0.05,0.17
conventional,-0.04,0.15
aristocratic,-0.04,0.12
drooping,-0.04,0.19
senior,-0.04,0.22
ecclesiastical,-0.04,0.06
strong,-0.04,0.12
federal,-0.04,0.15
irresistible,-0.03,0.11
indescribable,-0.03,0.21
perilous,-0.03,0.66
glassy,-0.03,0.19
outward,-0.03,0.13
slumbering,-0.03,0.16
negative,-0.03,0.13
decisive,-0.03,0.2
audible,-0.03,0.19
misty,-0.02,0.18
governing,-0.02,0.08
homeward,-0.02,0.12
legitimate,-0.02,0.19
parliamentary,-0.02,0.12
downward,-0.02,0.1
international,-0.02,0.12
subtle,-0.02,0.18
preliminary,-0.01,0.17
reasonable,-0.01,0.15
ceaseless,-0.01,0.07
constitutional,-0.01,0.15
surprising,-0.01,0.19
abrupt,-0.01,0.11
steep,-0.01,0.13
scottish,0.0,0.11
secondary,0.01,0.1
limited,0.01,0.11
male,0.01,0.19
pecuniary,0.01,0.19
younger,0.01,0.31
miraculous,0.01,0.14
presidential,0.01,0.15
baptist,0.01,0.09
rugged,0.02,0.1
flattering,0.02,0.18
solemn,0.02,0.18
horizontal,0.02,0.09
correct,0.02,0.19
catholic,0.02,0.09
innumerable,0.02,0.12
sandy,0.02,0.19
normal,0.02,0.09
complicated,0.02,0.11
female,0.02,0.27
individual,0.03,0.16
arctic,0.03,0.1
existing,0.03,0.15
nominal,0.03,0.14
intermediate,0.03,0.1
gray,0.03,0.21
medical,0.03,0.2
evident,0.04,0.12
chemical,0.04,0.14
isolated,0.04,0.15
eccentric,0.04,0.11
louder,0.04,0.21
righteous,0.04,0.14
proud,0.04,0.12
japanese,0.05,0.06
frequent,0.05,0.11
reluctant,0.05,0.16
theological,0.05,0.12
definite,0.05,0.14
primary,0.05,0.13
roman,0.06,0.1
sensitive,0.06,0.11
magic,0.06,0.18
protestant,0.07,0.11
conceivable,0.07,0.16
mid,0.07,0.15
huge,0.07,0.14
vital,0.08,0.12
sundry,0.08,0.07
magnetic,0.08,0.11
grey,0.08,0.17
equivalent,0.08,0.12
oriental,0.08,0.15
sentimental,0.08,0.1
supreme,0.08,0.17
eastern,0.08,0.11
aspiring,0.09,0.13
flourishing,0.09,0.1
elder,0.09,0.23
indirect,0.09,0.15
mossy,0.09,0.21
gleaming,0.09,0.19
tempting,0.09,0.15
lawful,0.09,0.07
longest,0.09,0.13
subsequent,0.09,0.22
needful,0.09,0.16
lonesome,0.09,0.53
british,0.09,0.11
crooked,0.09,0.13
opposite,0.09,0.1
customary,0.09,0.09
colossal,0.1,0.19
quaint,0.1,0.12
indefatigable,0.1,0.12
wooden,0.1,0.09
latent,0.1,0.1
sure,0.1,0.82
goodly,0.1,0.16
laborious,0.1,0.14
partial,0.1,0.16
provincial,0.1,0.08
consummate,0.1,0.18
parental,0.11,0.11
slow,0.11,0.13
royal,0.11,0.14
supernatural,0.11,0.15
wrinkled,0.11,0.21
sable,0.11,0.21
temporary,0.11,0.11
polar,0.11,0.1
juvenile,0.12,0.18
political,0.12,0.09
dark,0.12,0.14
imposing,0.12,0.19
external,0.12,0.1
northern,0.12,0.1
quick,0.13,0.1
ultimate,0.13,0.17
evangelical,0.13,0.12
favourite,0.13,0.09
respective,0.13,0.09
especial,0.13,0.14
southern,0.14,0.1
solid,0.14,0.09
positive,0.14,0.11
physical,0.14,0.13
foreign,0.14,0.04
colonial,0.14,0.05
italian,0.14,0.07
moral,0.14,0.14
speedy,0.14,0.18
