,0
0,strong
1,average
2,better
3,small
4,mold
6,light
7,encountered
8,ice
9,appeared
11,unnerving
12,booked
13,lowest
14,told
15,cheapest
16,available
17,unhappy
18,minimal
19,old
20,poor
21,total
22,certain
23,speak
24,worth
25,possible
26,standard
27,bad
28,white
29,horrible
30,main
31,cheaper
32,yellow
33,original
34,portable
35,planning
36,late
37,queue
38,mid-day
39,least
40,memorial
41,emotional
42,true
43,careful
44,sudden
45,last
46,odd
47,open
48,entire
49,cheap
50,fine
51,establishment
52,barefoot
53,dirty
54,cup
55,want
56,cold
57,sort
58,tiny
59,outrageous
60,random
61,fit
62,bunch
63,empty
64,general
65,less
66,tough
67,couple
68,contact
69,useless
70,lazy
71,obvious
72,conscious
73,wanted
74,entered
75,bright
76,~-
77,website
78,corporate
79,additional
80,heavy
81,wasted
82,double
83,tall
84,intend
85,positive
86,window
87,hadn
88,disappointment
89,red
90,ready
91,half
92,desk
93,previous
94,shabby
95,tired
96,shower
97,constant
98,hole
99,unhelpful
100,slow
101,acceptable
102,internet
103,valet
104,longer
105,difficult
106,lower
107,higher
108,wireless
109,young
110,costly
111,overhead
112,upholstered
113,narrow
114,stale
115,smoke-free
116,wasnt
117,bed
118,duvet
119,to-go
120,due
121,be
122,fixed
123,hard
124,minimum
125,weird
126,worn
127,like
128,soda
129,self-park
130,a-c
131,bench
132,follow
133,elite
134,loud
135,sleep
136,ridiculous
137,incident
138,mat
139,wet
140,dry
141,severe
142,proactive
143,successful
144,sarcastic
145,snobbish
146,it-
147,particuarly
148,guest
149,furious
150,terrible
151,rundown
152,overpriced
153,housekeeper
154,asked
155,rude
156,guy
157,wall
158,gross
159,switched
160,different
161,stuff
162,wallpaper
163,torn
164,automatic
165,outdated
166,hear
167,thought
168,worst
169,noticed
170,new
171,complain
172,trust
173,upstairs
174,non-smoking
175,musty
176,older
177,update
178,wrong
179,noise
180,closest
181,equal
182,frequent
183,solid
184,read
185,rated
186,exact
187,understand
188,pulled
189,foot
190,angle
191,star
192,noisy
193,flush
194,stronger
195,foul
196,degree
197,clear
198,unfortunate
199,nonchalant
200,manual
201,reflection
202,shady
203,electrical
204,online
205,guide
206,bowl
207,tours
208,interested
209,dont
210,uncomfortable
211,serious
212,remote
213,filthy
214,travel
215,disappointed
216,biggest
217,advertised
218,attempt
219,aware
220,expected
221,mess
222,basic
223,luxury
224,.it
225,guess
226,reduced
227,unclean
228,off-putting
229,peak
230,understandable
231,happen
232,tub
233,down
234,audible
235,arrive
236,apparent
237,mid
238,transatlantic
239,disappointing
240,wait
241,single
242,bag
243,common
244,lacked
245,unable
246,neutral
247,long
248,pm
249,potential
250,broken
251,funeral
252,dad
253,assigned
254,unpleasant
255,clerk
256,moldy
257,elevator
258,correct
259,in-room
260,make-your-own
261,door
262,unlucky
263,major
