,word,neg_adj_count,pos_adj_count
0,clean,2929.0,3962.0
1,strong,115.0,66.0
2,average,494.0,196.0
3,overnight,95.0,108.0
4,fussy,18.0,18.0
5,free,2205.0,2580.0
6,better,864.0,423.0
7,delicious,69.0,321.0
8,little,1848.0,1933.0
9,high,821.0,674.0
10,comfortable,1697.0,3600.0
11,plenty,146.0,266.0
12,small,3532.0,2694.0
13,mold,64.0,6.0
14,bathtub,22.0,14.0
15,light,400.0,279.0
16,encountered,13.0,9.0
17,ice,45.0,26.0
18,appeared,19.0,5.0
19,sure,1101.0,856.0
20,unnerving,4.0,1.0
21,booked,274.0,117.0
22,lowest,40.0,21.0
23,told,226.0,47.0
24,cheapest,49.0,26.0
25,available,1206.0,762.0
26,unhappy,60.0,10.0
27,great,3874.0,8257.0
28,minimal,62.0,43.0
29,rent,21.0,17.0
30,best,857.0,1327.0
31,old,2315.0,822.0
32,poor,699.0,102.0
33,night-room,1.0,
34,total,177.0,89.0
35,certain,134.0,62.0
36,bell,6.0,6.0
37,extra,751.0,641.0
38,speak,120.0,12.0
39,worth,546.0,331.0
40,wonderful,280.0,1222.0
41,impeccable,20.0,63.0
42,few,1616.0,1522.0
43,fanciest,5.0,6.0
44,possible,256.0,170.0
45,pricier,5.0,8.0
46,standard,311.0,242.0
47,good,5665.0,5355.0
48,bad,1823.0,543.0
49,white,232.0,145.0
50,horrible,471.0,44.0
51,main,521.0,416.0
52,most,772.0,753.0
53,tourist,36.0,44.0
54,short,547.0,746.0
55,cheaper,192.0,136.0
56,yellow,58.0,35.0
57,cab,57.0,61.0
58,original,124.0,78.0
59,terminal,31.0,64.0
60,portable,16.0,6.0
61,close,777.0,818.0
62,planning,7.0,3.0
63,typical,253.0,274.0
64,late,629.0,453.0
65,ant,4.0,
66,early,655.0,646.0
67,queue,18.0,7.0
68,mid-day,8.0,4.0
69,least,791.0,330.0
70,memorial,24.0,18.0
71,emotional,2.0,1.0
72,true,197.0,131.0
73,careful,72.0,33.0
74,whilst,16.0,16.0
75,sudden,13.0,4.0
76,many,1599.0,1590.0
77,real,397.0,349.0
78,hoards,1.0,
79,last,1075.0,848.0
80,odd,127.0,62.0
81,open,946.0,439.0
82,inquiry,3.0,
83,facing,11.0,17.0
84,pleasant,403.0,591.0
85,entire,461.0,348.0
86,celebrate,6.0,13.0
87,special,527.0,554.0
88,cheap,475.0,185.0
89,fine,721.0,453.0
90,respectable,4.0,4.0
91,establishment,19.0,4.0
92,barefoot,8.0,3.0
93,dirty,418.0,37.0
94,cup,24.0,15.0
95,want,370.0,281.0
96,cold,380.0,208.0
97,dollar-a-minute,1.0,
98,simple,138.0,123.0
99,hotels,25.0,29.0
100,sort,25.0,9.0
101,post-it,2.0,
102,tiny,612.0,192.0
103,cent,1.0,1.0
104,outrageous,68.0,16.0
105,easy,542.0,1185.0
106,convenient,307.0,415.0
107,random,16.0,3.0
108,fit,124.0,46.0
109,bunch,36.0,9.0
110,empty,160.0,68.0
111,general,262.0,129.0
112,summarily,1.0,
113,nice,3932.0,4852.0
114,less,462.0,343.0
115,tough,54.0,29.0
116,couple,228.0,180.0
117,brand-name,1.0,
118,stay,1064.0,1198.0
119,friendly,1057.0,2062.0
120,efficient,108.0,256.0
121,complimentary,327.0,610.0
122,usual,177.0,182.0
123,contact,24.0,19.0
124,useless,36.0,8.0
125,over-statement,1.0,
126,lazy,34.0,24.0
127,separate,174.0,270.0
128,obvious,115.0,40.0
129,conscious,17.0,9.0
130,wanted,127.0,67.0
131,boutique,70.0,133.0
132,modern,338.0,769.0
133,chic,33.0,75.0
134,impressive,110.0,96.0
135,entered,38.0,19.0
136,flexible-laid,1.0,
137,bright,80.0,61.0
138,public,303.0,289.0
139,~-,3.0,1.0
140,website,216.0,84.0
141,corporate,112.0,51.0
142,upgrade,233.0,205.0
143,additional,225.0,122.0
144,womp,1.0,
145,heavy,127.0,54.0
146,secure,21.0,22.0
147,wasted,3.0,1.0
148,double,596.0,392.0
149,tall,50.0,32.0
150,intend,7.0,3.0
151,suite,318.0,520.0
152,positive,370.0,172.0
153,window,143.0,70.0
154,partial,20.0,30.0
155,hadn,2.0,1.0
156,disappointment,32.0,7.0
157,attached,22.0,25.0
158,opposite,102.0,83.0
159,incredible,63.0,179.0
160,busy,502.0,515.0
161,red,123.0,94.0
162,ready,615.0,434.0
163,half,156.0,67.0
164,desk,543.0,316.0
165,junior,41.0,61.0
166,large,1148.0,1869.0
167,previous,389.0,195.0
168,shabby,58.0,5.0
169,tired,177.0,74.0
170,shower,766.0,420.0
171,hot,1051.0,867.0
172,constant,86.0,26.0
173,hole,28.0,4.0
174,helpful,1070.0,2534.0
175,check-in,452.0,421.0
176,courteous,159.0,402.0
177,professional,154.0,385.0
178,unhelpful,121.0,3.0
179,big,1086.0,1222.0
180,slow,367.0,207.0
181,acceptable,177.0,46.0
182,internet,252.0,184.0
183,valet,39.0,31.0
184,substantive,3.0,
185,longer,74.0,57.0
186,difficult,284.0,149.0
187,excellent,478.0,1525.0
188,lower,215.0,132.0
189,higher,293.0,197.0
190,wireless,111.0,68.0
191,young,301.0,239.0
192,trained,12.0,17.0
193,costly,21.0,8.0
194,park,72.0,65.0
195,downtown,353.0,515.0
196,metropolitan,2.0,3.0
197,interesting,78.0,93.0
198,scientific,2.0,
199,on-location,1.0,
200,steep,37.0,69.0
201,overhead,24.0,12.0
202,style-color,1.0,
203,unique,55.0,137.0
204,bubble,5.0,6.0
205,mod,1.0,5.0
206,upholstered,12.0,6.0
207,fresh,268.0,522.0
208,wine,71.0,212.0
209,narrow,87.0,31.0
210,spacious,411.0,1205.0
211,stale,67.0,7.0
212,smoke-as,1.0,
213,smoke-free,6.0,2.0
214,wasnt,23.0,5.0
215,exceptional,63.0,195.0
216,bed,301.0,177.0
217,duvet,11.0,3.0
218,consistent,32.0,27.0
219,quiet,603.0,1361.0
220,brew,2.0,
221,exceptional-was,1.0,
222,encouraged,2.0,
223,to-go,4.0,2.0
224,bottle,111.0,100.0
225,detail-oriented,1.0,1.0
226,due,16.0,3.0
227,rooftop,55.0,77.0
228,overall,402.0,391.0
229,be,3.0,1.0
230,aaa,4.0,4.0
231,fixed,19.0,8.0
232,hard,568.0,307.0
233,minimum,45.0,8.0
234,airport,71.0,84.0
235,weird,88.0,26.0
236,bur,1.0,
237,worn,260.0,52.0
238,pots,1.0,1.0
239,reasonable,368.0,457.0
240,future,78.0,119.0
241,like,173.0,98.0
242,re-done,1.0,1.0
243,soda,10.0,3.0
244,giant,27.0,23.0
245,self-park,16.0,6.0
246,a-c,137.0,29.0
247,bench,11.0,3.0
248,multi-station,1.0,
249,physician,4.0,
250,follow,38.0,8.0
251,elite,16.0,7.0
252,middle,282.0,238.0
253,loud,656.0,195.0
254,wire,1.0,
255,sleep,590.0,223.0
256,ridiculous,150.0,35.0
257,puddle,10.0,
258,commenced,1.0,
259,right,917.0,1137.0
260,incident,24.0,8.0
261,mat,3.0,1.0
