,word,neg_adv_count,pos_adv_count
0,generally,226.0,124.0
1,not,19127.0,8497.0
2,too,2098.0,1660.0
3,right,540.0,636.0
4,friendly,915.0,1815.0
5,little,260.0,284.0
6,never,2201.0,1009.0
7,odd,8.0,4.0
8,later,826.0,279.0
9,so,616.0,223.0
10,very,10510.0,13465.0
11,most,751.0,775.0
12,also,1011.0,622.0
13,better,1217.0,619.0
14,forward,107.0,143.0
15,however,2203.0,1008.0
16,certainly,419.0,402.0
17,n't,11915.0,6272.0
18,then,449.0,88.0
19,finally,705.0,131.0
20,nightly,34.0,45.0
21,instead,587.0,264.0
22,automatically,39.0,32.0
23,definately,88.0,220.0
24,pretty,1003.0,694.0
25,jolly,1.0,
26,less,278.0,163.0
27,eventually,166.0,32.0
28,otherwise,219.0,110.0
29,unfortunately,362.0,142.0
30,broadway,6.0,13.0
31,left,14.0,6.0
32,definetely,2.0,10.0
33,soehow,1.0,
34,literally,253.0,174.0
35,nice,433.0,512.0
36,longer,172.0,109.0
37,highly,149.0,642.0
38,maybe,104.0,40.0
39,simply,297.0,179.0
40,non,18.0,3.0
41,here,100.0,47.0
42,probably,927.0,456.0
43,properly,247.0,56.0
44,smoothly,16.0,25.0
45,randomly,13.0,2.0
46,basically,237.0,65.0
47,lady,5.0,
48,late,284.0,224.0
49,tonight,2.0,
50,definitely,719.0,1767.0
51,royally,1.0,3.0
52,entirely,46.0,29.0
53,luster,1.0,
54,provide,18.0,10.0
55,suite,44.0,49.0
56,hallway,158.0,49.0
57,even,299.0,236.0
58,desperately,23.0,3.0
59,insanely,8.0,5.0
60,previously,98.0,53.0
61,quite,1418.0,1127.0
62,especially,621.0,757.0
63,bit,277.0,248.0
64,table,1.0,
65,loosely,6.0,1.0
66,mostly,153.0,92.0
67,enough,862.0,647.0
68,unbelievably,36.0,22.0
69,nearby,259.0,313.0
70,lucite,1.0,
71,predominately,1.0,
72,runaway,1.0,
73,amazingly,20.0,54.0
74,fairly,341.0,241.0
75,moreover,12.0,9.0
76,oddly,39.0,14.0
77,clearly,301.0,76.0
78,likely,34.0,9.0
79,surely,44.0,38.0
80,occasionally,15.0,24.0
81,down,684.0,336.0
82,frequently,83.0,69.0
83,badly,168.0,20.0
84,neighbour,1.0,
85,funnily,1.0,2.0
86,forever,82.0,28.0
87,smelly,110.0,3.0
88,extremely,737.0,933.0
89,lately,11.0,6.0
90,practically,45.0,34.0
91,courtyard,9.0,15.0
92,correctly,53.0,23.0
93,possibly,90.0,63.0
94,deeply,13.0,1.0
95,perhaps,99.0,45.0
96,chokingly,1.0,
97,really,62.0,42.0
98,normally,11.0,8.0
99,close,768.0,965.0
100,esentially,1.0,
101,directly,353.0,273.0
102,consistently,41.0,39.0
103,belly,4.0,3.0
104,card,24.0,7.0
105,ugly,71.0,12.0
106,best,169.0,238.0
107,low,1.0,
108,merely,22.0,13.0
109,budget-friendly,1.0,
110,marine-friendly,1.0,
111,layout,6.0,6.0
112,closely,19.0,11.0
113,originally,75.0,66.0
114,promptly,100.0,93.0
115,conveniently,100.0,150.0
116,pleasantly,71.0,234.0
117,lovely,287.0,802.0
118,long,677.0,399.0
119,leisurely,8.0,16.0
120,prior,151.0,97.0
121,warmly,6.0,29.0
122,reasonably,172.0,205.0
123,noise,346.0,281.0
124,quieter,20.0,13.0
125,terribly,75.0,15.0
126,personally,80.0,74.0
127,hideaway,1.0,1.0
128,kindly,29.0,32.0
129,hospitably,1.0,
130,abruptly,10.0,
131,memo,1.0,
132,experience,25.0,19.0
133,no,276.0,87.0
134,etc.,4.0,2.0
135,ago,221.0,134.0
136,additionally,28.0,9.0
137,separately,10.0,14.0
138,poorly,167.0,9.0
139,horrendously,3.0,
140,easily,249.0,322.0
141,yell,6.0,
142,recently,31.0,33.0
143,heavenly,34.0,72.0
144,flimsy,1.0,
145,loudly,83.0,16.0
146,ahead,168.0,101.0
147,ultimately,40.0,15.0
148,purpose,10.0,6.0
149,teens,1.0,
150,elderly,12.0,
151,excuse,5.0,1.0
152,galore,1.0,2.0
153,unprofessionally,2.0,
154,typically,59.0,48.0
155,nicely,219.0,428.0
156,fast,144.0,169.0
157,extreamly,2.0,1.0
158,bother,49.0,23.0
159,perfectly,114.0,264.0
160,exceptionally,30.0,99.0
161,doorway,8.0,3.0
162,behavior,4.0,
163,a.m.,92.0,43.0
164,a.m,2.0,
165,nearly,196.0,97.0
166,convienently,2.0,2.0
167,subway,114.0,241.0
168,faster,25.0,14.0
169,overpoweringly,1.0,
170,indeed,106.0,59.0
171,earlier,134.0,82.0
172,form,3.0,
173,heard,82.0,28.0
174,practially,1.0,1.0
175,nuther,1.0,
176,permanently,12.0,2.0
177,absolutely,335.0,458.0
178,fantastically,3.0,7.0
179,completely,420.0,163.0
180,inevitably,4.0,1.0
181,sure,43.0,29.0
182,favorably,2.0,7.0
183,double,72.0,29.0
184,significantly,37.0,18.0
185,dramatically,5.0,2.0
186,tv…definitely,1.0,
187,surprise,7.0,8.0
188,ridiculously,61.0,22.0
189,early,242.0,191.0
190,therefore,72.0,35.0
191,dirty,32.0,
192,volunteerily,1.0,
193,graciously,11.0,32.0
194,truely,6.0,9.0
195,hotel,114.0,68.0
196,.how,1.0,
197,stayed,3.0,7.0
198,bags,6.0,1.0
199,whatsoever,34.0,17.0
200,privacy,1.0,
201,totally,213.0,160.0
202,street,31.0,22.0
203,neighbors..,1.0,
204,decently,21.0,10.0
205,nyc,5.0,4.0
206,cosmetically,2.0,
207,advance,22.0,11.0
208,asleep,28.0,14.0
209,bus,4.0,3.0
210,only,238.0,349.0
211,upstairs,4.0,
212,quickly,291.0,317.0
213,humid,1.0,
214,breakfast,56.0,60.0
215,driver,38.0,22.0
216,constantly,133.0,59.0
217,honestly,103.0,77.0
218,smell,46.0,10.0
219,initially,82.0,44.0
220,differently,16.0,7.0
221,cheap,41.0,21.0
222,comfortably,28.0,44.0
223,firstly,21.0,7.0
224,away..,1.0,
225,strongly,79.0,35.0
226,open,4.0,3.0
227,nowhere,1.0,
228,counter,29.0,7.0
229,upside,5.0,1.0
230,architecturally,3.0,4.0
231,partially,35.0,16.0
232,rudely,73.0,2.0
233,now,279.0,104.0
234,yet,12.0,3.0
235,bluntly,4.0,
236,obviously,34.0,13.0
237,allow,1.0,
238,rude,15.0,1.0
239,notice,61.0,26.0
240,well,74.0,36.0
241,just,92.0,190.0
242,sincerely,13.0,17.0
243,lobby,57.0,30.0
244,technically,16.0,8.0
245,truly,136.0,185.0
246,noon,31.0,15.0
247,baseboard,3.0,
248,incessantly,6.0,3.0
249,hardly,153.0,62.0
250,barely,314.0,68.0
251,galdly,1.0,
252,newly,78.0,99.0
253,nicest,6.0,3.0
254,worn,5.0,
255,half,12.0,6.0
256,bite,6.0,4.0
257,distance,8.0,36.0
258,alot,11.0,6.0
259,pitcher,2.0,1.0
260,downtown,39.0,39.0
261,dream,1.0,1.0
262,love,4.0,9.0
263,accuratly,1.0,
264,heavily,32.0,16.0
265,presumably,22.0,7.0
266,admit,5.0,
267,tremendously,9.0,7.0
268,surly,26.0,6.0
269,anytime,14.0,27.0
270,lackluster,3.0,
271,nationally,4.0,
272,gladly,26.0,36.0
273,substantially,9.0,5.0
274,rapidly,10.0,3.0
275,apparently,74.0,12.0
276,more,22.0,14.0
277,day.there,1.0,
278,beautifully,25.0,167.0
279,write,30.0,11.0
280,belligerently,1.0,
281,emphatically,2.0,
282,chandelier,1.0,
283,cover,18.0,1.0
284,frankly,39.0,14.0
285,comparatively,7.0,4.0
286,timely,14.0,17.0
287,incredibly,160.0,210.0
288,yard,4.0,2.0
289,supposedly,89.0,9.0
290,weather,14.0,15.0
291,fortunately,73.0,27.0
292,river,7.0,16.0
293,minimally,8.0,2.0
294,first,88.0,31.0
295,seriously,138.0,52.0
296,noisy,184.0,52.0
297,gradually,6.0,1.0
298,getaway,18.0,18.0
299,genuinely,17.0,68.0
300,meanwhile,14.0,2.0
301,etc..,1.0,3.0
302,neighborhood,21.0,20.0
303,primarily,18.0,26.0
304,ideally,15.0,42.0
305,ajoin,1.0,
306,hard,118.0,55.0
307,mistakenly,7.0,8.0
308,motel,8.0,1.0
309,walkway,12.0,6.0
310,slightly,234.0,167.0
311,hop,4.0,2.0
312,bride,3.0,
313,escort,2.0,
314,baby,2.0,2.0
315,told,67.0,10.0
316,fully,125.0,115.0
317,baltimore,1.0,3.0
318,newer,3.0,2.0
319,nicer,56.0,28.0
320,touch,21.0,42.0
321,cab,3.0,1.0
322,metro,6.0,8.0
323,sleep,25.0,9.0
324,legally,1.0,2.0
325,unsightly,3.0,
326,lot,82.0,61.0
327,bimonthly,1.0,
328,silver,3.0,3.0
329,highway,28.0,18.0
330,horribly,46.0,7.0
331,..not,3.0,1.0
332,ang,1.0,
333,saver,2.0,1.0
334,lastly,36.0,14.0
335,overly,94.0,64.0
336,airport,63.0,41.0
337,slowly,33.0,10.0
338,deep,4.0,3.0
339,painfully,13.0,9.0
340,comp,1.0,
341,manual,1.0,
342,suddenly,41.0,7.0
343,thought,16.0,4.0
344,bathtub,12.0,2.0
345,accidentally,22.0,12.0
346,bitten,5.0,
347,pool,4.0,4.0
348,plenty,31.0,34.0
349,freeway,57.0,48.0
350,thoroughly,41.0,78.0
351,excessively,7.0,3.0
352,dangerously,5.0,1.0
353,bathroom,8.0,9.0
354,oven,13.0,23.0
355,super,8.0,23.0
